STG,SCG,STR,LPR,PEG, UNS
0.0,0.0,0.0,0.0,0.0,very_low
0.08,0.08,0.1,0.24,0.9,High
0.06,0.06,0.05,0.25,0.33,Low
0.1,0.1,0.15,0.65,0.3,Middle
0.08,0.08,0.08,0.98,0.24,Low
0.09,0.15,0.4,0.1,0.66,Middle
0.1,0.1,0.43,0.29,0.56,Middle
0.15,0.02,0.34,0.4,0.01,very_low
0.2,0.14,0.35,0.72,0.25,Low
0.0,0.0,0.5,0.2,0.85,High
0.18,0.18,0.55,0.3,0.81,High
0.06,0.06,0.51,0.41,0.3,Low
0.1,0.1,0.52,0.78,0.34,Middle
0.1,0.1,0.7,0.15,0.9,High
0.2,0.2,0.7,0.3,0.6,Middle
0.12,0.12,0.75,0.35,0.8,High
0.05,0.07,0.7,0.01,0.05,very_low
0.1,0.25,0.1,0.08,0.33,Low
0.15,0.32,0.05,0.27,0.29,Low
0.2,0.29,0.25,0.49,0.56,Middle
0.12,0.28,0.2,0.78,0.2,Low
0.18,0.3,0.37,0.12,0.66,Middle
0.1,0.27,0.31,0.29,0.65,Middle
0.18,0.31,0.32,0.42,0.28,Low
0.06,0.29,0.35,0.76,0.25,Low
0.09,0.3,0.68,0.18,0.85,High
0.04,0.28,0.55,0.25,0.1,very_low
0.09,0.255,0.6,0.45,0.25,Low
0.08,0.325,0.62,0.94,0.56,High
0.15,0.275,0.8,0.21,0.81,High
0.12,0.245,0.75,0.31,0.59,Middle
0.15,0.295,0.75,0.65,0.24,Low
0.1,0.256,0.7,0.76,0.16,Low
0.18,0.32,0.04,0.19,0.82,High
0.2,0.45,0.28,0.31,0.78,High
0.06,0.35,0.12,0.43,0.29,Low
0.1,0.42,0.22,0.72,0.26,Low
0.18,0.4,0.32,0.08,0.33,Low
0.09,0.33,0.31,0.26,0.0,very_low
0.19,0.38,0.38,0.49,0.45,Middle
0.02,0.33,0.36,0.76,0.1,Low
0.2,0.49,0.6,0.2,0.78,High
0.14,0.49,0.55,0.29,0.6,Middle
0.18,0.33,0.61,0.64,0.25,Middle
0.115,0.35,0.65,0.27,0.04,very_low
0.17,0.36,0.8,0.14,0.66,Middle
0.1,0.39,0.75,0.31,0.62,Middle
0.13,0.39,0.85,0.38,0.77,High
0.18,0.34,0.71,0.71,0.9,High
0.09,0.51,0.02,0.18,0.67,Middle
0.06,0.5,0.09,0.28,0.25,Low
0.23,0.7,0.19,0.51,0.45,Middle
0.09,0.55,0.12,0.78,0.05,Low
0.24,0.75,0.32,0.18,0.86,High
0.18,0.72,0.37,0.29,0.55,Middle
0.1,0.6,0.33,0.42,0.26,Low
0.2,0.52,0.36,0.84,0.25,Middle
0.09,0.6,0.66,0.19,0.59,Middle
0.18,0.51,0.58,0.33,0.82,High
0.08,0.58,0.6,0.64,0.1,Low
0.09,0.61,0.53,0.75,0.01,Low
0.06,0.77,0.72,0.19,0.56,Middle
0.15,0.79,0.78,0.3,0.51,Middle
0.2,0.68,0.73,0.48,0.28,Low
0.24,0.58,0.76,0.8,0.28,Middle
0.25,0.1,0.03,0.09,0.15,very_low
0.32,0.2,0.06,0.26,0.24,very_low
0.29,0.06,0.19,0.55,0.51,Middle
0.28,0.1,0.12,0.28,0.32,Low
0.3,0.08,0.4,0.02,0.67,Middle
0.27,0.12,0.37,0.29,0.58,Middle
0.31,0.1,0.41,0.42,0.75,High
0.29,0.15,0.33,0.66,0.08,very_low
0.3,0.2,0.52,0.3,0.53,Middle
0.28,0.16,0.69,0.33,0.78,High
0.255,0.18,0.5,0.4,0.1,very_low
0.265,0.06,0.57,0.75,0.1,Low
0.275,0.1,0.72,0.1,0.3,Low
0.245,0.1,0.71,0.26,0.2,very_low
0.295,0.2,0.86,0.44,0.28,Low
0.32,0.12,0.79,0.76,0.24,Low
0.295,0.25,0.26,0.12,0.67,Middle
0.315,0.32,0.29,0.29,0.62,Middle
0.25,0.29,0.15,0.48,0.26,Low
0.27,0.1,0.1,0.7,0.25,Low
0.248,0.3,0.31,0.2,0.03,very_low
0.325,0.25,0.38,0.31,0.79,High
0.27,0.31,0.32,0.41,0.28,Low
0.29,0.29,0.4,0.78,0.18,Low
0.29,0.3,0.52,0.09,0.67,Middle
0.258,0.28,0.64,0.29,0.56,Middle
0.32,0.255,0.55,0.78,0.34,Middle
0.251,0.265,0.57,0.6,0.09,very_low
0.288,0.31,0.79,0.23,0.24,Low
0.323,0.32,0.89,0.32,0.8,High
0.255,0.305,0.86,0.62,0.15,Low
0.295,0.25,0.73,0.77,0.19,Low
0.258,0.25,0.295,0.33,0.77,High
0.29,0.25,0.29,0.29,0.57,Middle
0.243,0.27,0.08,0.42,0.29,Low
0.27,0.28,0.18,0.48,0.26,Low
0.299,0.32,0.31,0.33,0.87,High
0.3,0.27,0.31,0.31,0.54,Middle
0.245,0.26,0.38,0.49,0.27,Low
0.295,0.29,0.31,0.76,0.1,Low
0.29,0.3,0.56,0.25,0.67,Middle
0.26,0.28,0.6,0.29,0.59,Middle
0.305,0.255,0.63,0.4,0.54,Middle
0.32,0.27,0.52,0.81,0.3,Middle
0.299,0.295,0.8,0.37,0.84,High
0.276,0.255,0.81,0.27,0.33,Low
0.258,0.31,0.88,0.4,0.3,Low
0.32,0.28,0.72,0.89,0.58,High
0.329,0.55,0.02,0.4,0.79,High
0.295,0.59,0.29,0.31,0.55,Middle
0.285,0.64,0.18,0.61,0.45,Middle
0.265,0.6,0.28,0.66,0.07,very_low
0.315,0.69,0.28,0.8,0.7,High
0.28,0.78,0.44,0.17,0.66,Middle
0.325,0.61,0.46,0.32,0.81,High
0.28,0.65,0.4,0.65,0.13,Low
0.255,0.75,0.35,0.72,0.25,Low
0.305,0.55,0.5,0.11,0.333,Low
0.3,0.85,0.54,0.25,0.83,Middle
0.325,0.9,0.52,0.49,0.76,High
0.312,0.8,0.67,0.92,0.5,High
0.299,0.7,0.95,0.22,0.66,High
0.265,0.76,0.8,0.28,0.28,Low
0.255,0.72,0.72,0.63,0.14,Low
0.295,0.6,0.72,0.88,0.28,Middle
0.39,0.05,0.02,0.06,0.34,Low
0.4,0.18,0.26,0.26,0.67,Middle
0.45,0.04,0.18,0.55,0.07,very_low
0.48,0.12,0.28,0.7,0.71,High
0.4,0.12,0.41,0.1,0.65,Middle
0.41,0.18,0.33,0.31,0.5,Middle
0.38,0.1,0.4,0.48,0.26,Low
0.37,0.06,0.32,0.78,0.1,Low
0.41,0.09,0.58,0.18,0.58,Middle
0.38,0.01,0.53,0.27,0.3,Low
0.33,0.04,0.5,0.55,0.1,very_low
0.42,0.15,0.66,0.78,0.4,Middle
0.44,0.08,0.8,0.22,0.56,Middle
0.39,0.15,0.81,0.22,0.29,Low
0.42,0.21,0.87,0.56,0.48,Middle
0.46,0.2,0.76,0.95,0.65,High
0.365,0.243,0.19,0.24,0.35,Low
0.33,0.27,0.2,0.33,0.1,very_low
0.345,0.299,0.1,0.64,0.13,Low
0.48,0.3,0.15,0.65,0.77,High
0.49,0.245,0.38,0.14,0.86,High
0.334,0.295,0.33,0.32,0.3,Low
0.36,0.29,0.37,0.48,0.13,very_low
0.39,0.26,0.39,0.77,0.14,Low
0.43,0.305,0.51,0.09,0.64,Middle
0.44,0.32,0.55,0.33,0.52,Middle
0.45,0.299,0.63,0.36,0.51,Middle
0.495,0.276,0.58,0.77,0.83,High
0.465,0.258,0.73,0.18,0.59,Middle
0.475,0.32,0.79,0.31,0.54,Middle
0.348,0.329,0.83,0.61,0.18,Low
0.385,0.26,0.76,0.84,0.3,Middle
0.445,0.39,0.02,0.24,0.88,High
0.43,0.45,0.27,0.27,0.89,High
0.33,0.34,0.1,0.49,0.12,very_low
0.4,0.33,0.12,0.3,0.9,High
0.34,0.4,0.38,0.2,0.61,Middle
0.38,0.36,0.46,0.49,0.78,High
0.35,0.38,0.32,0.6,0.16,Low
0.41,0.49,0.34,0.21,0.92,High
0.42,0.36,0.63,0.04,0.25,Low
0.43,0.38,0.62,0.33,0.49,Middle
0.44,0.33,0.59,0.53,0.85,High
0.4,0.42,0.58,0.75,0.16,Low
0.46,0.44,0.89,0.12,0.66,Middle
0.38,0.39,0.79,0.33,0.3,Low
0.39,0.42,0.83,0.65,0.19,Low
0.49,0.34,0.88,0.75,0.71,High
0.46,0.64,0.22,0.22,0.6,Middle
0.44,0.55,0.11,0.26,0.83,High
0.365,0.68,0.1,0.63,0.18,Low
0.45,0.65,0.19,0.99,0.55,High
0.46,0.78,0.38,0.24,0.89,High
0.37,0.55,0.41,0.29,0.3,Low
0.38,0.59,0.31,0.62,0.2,Low
0.49,0.64,0.34,0.78,0.21,Low
0.495,0.82,0.67,0.01,0.93,High
0.44,0.69,0.61,0.29,0.57,Middle
0.365,0.57,0.59,0.55,0.25,Low
0.49,0.9,0.52,0.9,0.47,High
0.445,0.7,0.82,0.16,0.64,Middle
0.42,0.7,0.72,0.3,0.8,High
0.37,0.6,0.77,0.4,0.5,Middle
0.4,0.61,0.71,0.88,0.67,High
0.6,0.14,0.22,0.11,0.66,Middle
0.55,0.1,0.27,0.25,0.29,Low
0.68,0.19,0.19,0.48,0.1,very_low
0.73,0.2,0.07,0.72,0.26,Low
0.78,0.15,0.38,0.18,0.63,Middle
0.55,0.1,0.34,0.3,0.1,very_low
0.59,0.18,0.31,0.55,0.09,very_low
0.64,0.09,0.33,0.65,0.5,Middle
0.6,0.19,0.55,0.08,0.1,very_low
0.69,0.02,0.62,0.3,0.29,Low
0.78,0.21,0.68,0.65,0.75,High
0.62,0.14,0.52,0.81,0.15,Low
0.7,0.18,0.88,0.09,0.66,Middle
0.75,0.015,0.78,0.31,0.53,Middle
0.55,0.17,0.71,0.48,0.11,very_low
0.85,0.05,0.91,0.8,0.68,High
0.78,0.27,0.13,0.14,0.62,Middle
0.8,0.29,0.06,0.31,0.51,Middle
0.9,0.26,0.19,0.58,0.79,High
0.76,0.258,0.07,0.83,0.34,Middle
0.72,0.32,0.48,0.2,0.6,Middle
0.6,0.251,0.39,0.29,0.3,Low
0.52,0.288,0.32,0.5,0.3,Low
0.6,0.31,0.31,0.87,0.58,High
0.51,0.255,0.55,0.17,0.64,Middle
0.58,0.295,0.62,0.28,0.3,Low
0.61,0.258,0.56,0.62,0.24,Low
0.77,0.267,0.59,0.78,0.28,Middle
0.79,0.28,0.88,0.2,0.66,Middle
0.68,0.27,0.78,0.31,0.57,Middle
0.58,0.299,0.73,0.63,0.21,Low
0.77,0.29,0.74,0.82,0.68,High
0.71,0.475,0.13,0.23,0.59,Middle
0.58,0.348,0.06,0.29,0.31,Low
0.88,0.335,0.19,0.55,0.78,High
0.99,0.49,0.07,0.7,0.69,High
0.73,0.43,0.32,0.12,0.65,Middle
0.61,0.33,0.36,0.28,0.28,Low
0.51,0.4,0.4,0.59,0.23,Low
0.83,0.44,0.49,0.91,0.66,High
0.66,0.38,0.55,0.15,0.62,Middle
0.58,0.35,0.51,0.27,0.3,Low
0.523,0.41,0.55,0.6,0.22,Low
0.66,0.36,0.56,0.4,0.83,High
0.62,0.37,0.81,0.13,0.64,Middle
0.52,0.44,0.82,0.3,0.52,Middle
0.5,0.4,0.73,0.62,0.2,Low
0.71,0.46,0.95,0.78,0.86,High
0.64,0.55,0.15,0.18,0.63,Middle
0.52,0.85,0.06,0.27,0.25,Low
0.62,0.62,0.24,0.65,0.25,Middle
0.91,0.58,0.26,0.89,0.88,High
0.62,0.67,0.39,0.1,0.66,Middle
0.58,0.58,0.31,0.29,0.29,Low
0.89,0.68,0.49,0.65,0.9,High
0.72,0.6,0.45,0.79,0.45,Middle
0.68,0.63,0.65,0.09,0.66,Middle
0.56,0.6,0.6,0.31,0.5,Middle
0.54,0.51,0.55,0.64,0.19,Low
0.61,0.78,0.69,0.92,0.58,High
0.78,0.61,0.71,0.19,0.6,Middle
0.54,0.82,0.71,0.29,0.77,High
0.5,0.75,0.81,0.61,0.26,Middle
0.66,0.9,0.76,0.87,0.74,High
0.290998691637168,0.26217473438740135,0.32027043029465807,0.3062697417716671,0.5291522855444741,Middle
0.2691135985419715,0.27828814282611725,0.6073289881171224,0.3039460278696616,0.5893791594483105,Middle
0.3175532540626111,0.0979565800573993,0.4322667467275855,0.42136833827905923,0.7439465849607537,High
0.34102197608938406,0.5783604670792813,0.5846393032845734,0.5612319485951209,0.26318777337906124,Low
0.12193901048240273,0.26755454705544646,0.20569861263568362,0.7905812907937639,0.2109654537354013,Low
0.3023345017579304,0.27370445788405307,0.3057235951906788,0.31162004741793986,0.5314417408889138,Middle
0.2755217009483466,0.7423677479253031,0.34343039442534223,0.734949323069784,0.25057591755904013,Low
0.7088743062512949,0.3130466338307218,0.4897564665528764,0.19234015711900987,0.5914585706731333,Middle
0.2637758149219778,0.2989395109999143,0.32564965174722815,0.41363960772893227,0.2871270166997161,Low
0.24251201885705606,0.2793289144683153,0.09192958363636101,0.4184894423014841,0.2793900869923382,Low
0.31893506823134044,0.3078452421329781,0.3313977224745976,0.32692654362884527,0.31186877896553356,Low
0.385866461664502,0.04960299136698884,0.020755237270820508,0.062382709705854016,0.3435127013757442,Low
0.4755235149144959,0.2982702263842183,0.15827452986871876,0.650022274286226,0.7567707572630743,High
0.6459786258393979,0.9056087526241051,0.7601450509584341,0.8686261202221606,0.7435342800274001,High
0.4152958385269517,0.711624529119372,0.7262327765697786,0.2919991052439399,0.8009941046776888,High
0.35897351627601526,0.31798711187201517,0.816046175003544,0.6282019957889102,0.15479016274341742,Low
0.1795268670354292,0.2957759852197982,0.3780438027224554,0.12288355048217149,0.6601353002874091,Middle
0.5318285671204901,0.5244785745204364,0.5414563353618954,0.6503185398210413,0.16785456781230676,Low
0.5778778607302608,0.3435761215247708,0.5093142513473332,0.28197440708292043,0.31166687923597863,Low
0.1927345521104958,0.3518788282981343,0.7092054904991585,0.7127416075666598,0.9166031322324881,High
0.19202282125709305,0.4926005871356241,0.5817675241505471,0.32197269438463366,0.8369929485986232,High
0.41057576794457945,0.4766040433683859,0.3587845918896219,0.18485961798544673,0.905672561336221,High
0.43782653511982744,0.6807074365614071,0.6071948903683133,0.29667282972515263,0.5479968633749218,Middle
0.5029287800094134,0.9103415087829958,0.5341140370616475,0.8929187990649122,0.4671344321691363,High
0.47502517823929213,0.4398980048040155,0.8859347672441373,0.10637118163525734,0.6665151117527085,Middle
0.057986104292297655,0.4769176469390187,0.09114090144339183,0.258865026393341,0.23953351560996416,Low
0.18735541551971271,0.7272463621402255,0.36200561844674983,0.2864727616627768,0.5684271218268532,Middle
0.519717964607589,0.8403840739808343,0.0670307287629588,0.2682788378971771,0.2460741897146798,Low
0.3936034559002044,0.05380754785444968,0.030938576420485163,0.05095857111034571,0.32632621392789296,Low
0.40761346767593115,0.13560413736525986,0.424462713143561,0.10322666582550316,0.6485578037631371,Middle
0.11436917906429109,0.2825665971005595,0.18654977099027004,0.7787625355428927,0.19751598339803006,Low
0.3303118928164372,0.4050113294168682,0.3990096322940352,0.1946097741494385,0.6155169854727722,Middle
0.2950005534794831,0.2915902318295825,0.40206506160336053,0.7744086315622477,0.16786299235542282,Low
0.10079681150350624,0.1011412071707618,0.7060249748680657,0.15300034094991988,0.8865340424063114,High
0.7108750100693864,0.46009734811813147,0.9392293315726792,0.7781445915802765,0.8710729155302362,High
0.09334346043577599,0.5432249167381682,0.1300814359031004,0.7891682838335758,0.04940253961078036,Low
0.3256044876668398,0.2531100821982742,0.5561039758096769,0.7756995061823027,0.349198582306239,Middle
0.20243303267868554,0.44470861999002814,0.2901108761047014,0.31200509219107797,0.7640988463592204,High
0.6133331303910365,0.16034593784470288,0.5077649907724228,0.8201921260577832,0.1505641349951224,Low
0.3128673612928998,0.13623453082919812,0.7944703337234529,0.7565871277469929,0.23885282773208533,Low
0.09121273932019461,0.49787590835396045,0.02457272563515555,0.17345362365646783,0.661127266842281,Middle
0.06747401424327873,0.0659131452735943,0.09006532971468996,0.2458219437684858,0.90347141422011,High
